1	500	500	500	500	500	500	500	1024
2	1500	1500	1500	1500	1500	1500	1500	1024
3	3750	3750	3750	3750	3750	3750	3750	1024
4	7875	7875	7875	7875	7875	7875	7875	1024
5	14175	14175	14175	14175	14175	14175	14175	1024
6	22680	22680	22680	22680	22680	22680	22680	1024
7	32886	32886	32886	32886	32886	32886	32886	1024
8	44396	44396	44396	44396	44396	44396	44396	1024
9	57715	57715	57715	57715	57715	57715	57715	1024
10	72144	72144	72144	72144	72144	72144	72144	1024
11	72161	72161	72161	72161	72161	72161	72161	1
12	72200	72200	72200	72200	72200	72200	72200	1
13	72267	72267	72267	72267	72267	72267	72267	1
14	72368	72368	72368	72368	72368	72368	72368	1
15	72512	72512	72512	72512	72512	72512	72512	1
16	72709	72709	72709	72709	72709	72709	72709	1
17	72973	72973	72973	72973	72973	72973	72973	1
18	73321	73321	73321	73321	73321	73321	73321	1
19	73774	73774	73774	73774	73774	73774	73774	1
20	74358	74358	74358	74358	74358	74358	74358	1
21	75105	75105	75105	75105	75105	75105	75105	1
22	76056	76056	76056	76056	76056	76056	76056	1
23	77263	77263	77263	77263	77263	77263	77263	1
24	78789	78789	78789	78789	78789	78789	78789	1
25	80714	80714	80714	80714	80714	80714	80714	1
26	83138	83138	83138	83138	83138	83138	83138	1
27	86185	86185	86185	86185	86185	86185	86185	1
28	89911	89911	89911	89911	89911	89911	89911	1
29	94377	94377	94377	94377	94377	94377	94377	1
30	99649	99649	99649	99649	99649	99649	99649	1
31	105799	105799	105799	105799	105799	105799	105799	1
32	112906	112906	112906	112906	112906	112906	112906	1
33	121055	121055	121055	121055	121055	121055	121055	1
34	130340	130340	130340	130340	130340	130340	130340	1
35	140863	140863	140863	140863	140863	140863	140863	1
36	152735	152735	152735	152735	152735	152735	152735	1
37	166077	166077	166077	166077	166077	166077	166077	1
38	181020	181020	181020	181020	181020	181020	181020	1
39	197709	197709	197709	197709	197709	197709	197709	1
40	216300	216300	216300	216300	216300	216300	216300	1
41	236964	236964	236964	236964	236964	236964	236964	1
42	259887	259887	259887	259887	259887	259887	259887	1
43	285272	285272	285272	285272	285272	285272	285272	1
44	313340	313340	313340	313340	313340	313340	313340	1
45	344332	344332	344332	344332	344332	344332	344332	1
46	378512	378512	378512	378512	378512	378512	378512	1
47	416165	416165	416165	416165	416165	416165	416165	1
48	457604	457604	457604	457604	457604	457604	457604	1
49	503169	503169	503169	503169	503169	503169	503169	1
50	553231	553231	553231	553231	553231	553231	553231	1
51	608195	608195	608195	608195	608195	608195	608195	1
52	668501	668501	668501	668501	668501	668501	668501	1
53	734629	734629	734629	734629	734629	734629	734629	1
54	807104	807104	807104	807104	807104	807104	807104	1
55	886496	886496	886496	886496	886496	886496	886496	1
56	973427	973427	973427	973427	973427	973427	973427	1
57	1068575	1068575	1068575	1068575	1068575	1068575	1068575	1
58	1172680	1172680	1172680	1172680	1172680	1172680	1172680	1
59	1286547	1286547	1286547	1286547	1286547	1286547	1286547	1
60	1411054	1411054	1411054	1411054	1411054	1411054	1411054	1
